category,name,broad,price,feature,discount,link,new
食品贮藏室,瓶架,奥马尔,¥ 199.00,,False,http://www.ikea.com/cn/zh/catalog/products/S09213592/,False
食品贮藏室,瓶架,奥马尔,¥ 398.00,,False,http://www.ikea.com/cn/zh/catalog/products/S09213592/,False
拉手和拉钮,把手,BERGHALLA 伯拉,¥ 30.00,,False,http://www.ikea.com/cn/zh/catalog/products/30322886/,False
拉手和拉钮,圆把手,MÖLLARP 莫拉普,¥ 20.00,,False,http://www.ikea.com/cn/zh/catalog/products/30322886/,False
抽油烟机和滤器,抽油烟机,ANPASSA 安帕萨,"¥ 1,999.00",,False,http://www.ikea.com/cn/zh/catalog/products/70335311/,False
抽油烟机和滤器,抽油烟机,DRAGFRI 乔菲,"¥ 2,999.00",,False,http://www.ikea.com/cn/zh/catalog/products/70335311/,False
抽油烟机和滤器,抽油烟机,MOLNIGT 莫尼特,"¥ 2,499.00",,False,http://www.ikea.com/cn/zh/catalog/products/70335311/,False
工具和安装件,编织袋,弗拉塔,¥ 4.50,大,True,http://www.ikea.com/cn/zh/catalog/products/20188483/,False
墙面板,挡水板,莱西克,¥ 199.00,,False,http://www.ikea.com/cn/zh/catalog/products/80335122/,False
墙面板,挡水板,莱西克,¥ 299.00,,False,http://www.ikea.com/cn/zh/catalog/products/80335122/,False
墙面板,挡水板,莱西克,¥ 199.00,,False,http://www.ikea.com/cn/zh/catalog/products/80335122/,False
厨房岛和推车,脚轮边桌,IKEA PS 2017,¥ 699.00,,False,http://www.ikea.com/cn/zh/catalog/products/60334067/,False
厨房岛和推车,餐边桌,NORRÅKER 诺鲁克,"¥ 1,299.00",,False,http://www.ikea.com/cn/zh/catalog/products/60334067/,False
厨房橱柜和前板,"""德姆索""单缸洗涤槽底柜",METOD 米多,¥ 290.00,,False,http://www.ikea.com/cn/zh/catalog/products/S09216581/,False
灶具,煤气灶,副克里,¥ 999.00,,False,http://www.ikea.com/cn/zh/catalog/products/50334954/,False
灶具,煤气灶,弗兰迪,"¥ 1,999.00",,False,http://www.ikea.com/cn/zh/catalog/products/50334954/,False
灶具,煤气灶,弗兰迪,"¥ 1,999.00",,False,http://www.ikea.com/cn/zh/catalog/products/50334954/,False
墙面储藏件,篮子,RISATORP 瑞沙托,¥ 39.90,,False,http://www.ikea.com/cn/zh/catalog/products/70281619/,False
墙面板,挡水板,莱西克,¥ 199.00,,False,http://www.ikea.com/cn/zh/catalog/products/80335122/,False
墙面板,挡水板,莱西克,¥ 299.00,,False,http://www.ikea.com/cn/zh/catalog/products/80335122/,False
墙面板,挡水板,莱西克,¥ 199.00,,False,http://www.ikea.com/cn/zh/catalog/products/80335122/,False
米多操作台面,操作台面,宜伯肯,¥ 499.00,,False,http://www.ikea.com/cn/zh/catalog/products/40280659/,False
米多操作台面,操作台面,宜伯肯,¥ 499.00,,False,http://www.ikea.com/cn/zh/catalog/products/40280659/,False
米多操作台面,操作台面,宜伯肯,¥ 499.00,,False,http://www.ikea.com/cn/zh/catalog/products/40280659/,False
床罩,床罩,安特洛,¥ 199.00,,False,http://www.ikea.com/cn/zh/catalog/products/30328100/,False
床罩,床罩,法布丽娜,¥ 49.00,,False,http://www.ikea.com/cn/zh/catalog/products/30328100/,False
标配厨房,厨房,KNOXHULT 诺克胡,"¥ 2,797.00",,False,http://www.ikea.com/cn/zh/catalog/products/S89202523/,False
标配厨房,厨房,KNOXHULT 诺克胡,"¥ 2,095.00",,False,http://www.ikea.com/cn/zh/catalog/products/S89202523/,False
米多厨房龙头和水槽,厨房混合型水龙头,BOSJÖN 伯希,"¥ 1,199.00",带1个槽,False,http://www.ikea.com/cn/zh/catalog/products/S89158167/,False
米多厨房龙头和水槽,垫子,GRUNDVATTNET 伦瓦特,¥ 19.90,带1个槽,False,http://www.ikea.com/cn/zh/catalog/products/S89158167/,False
内配件,附盖干燥食品储存罐,TILLSLUTA 提苏塔,¥ 69.00,低,False,http://www.ikea.com/cn/zh/catalog/products/20271255/,False
内配件,附盖干燥食品储存罐,TILLSLUTA 提苏塔,¥ 49.00,低,False,http://www.ikea.com/cn/zh/catalog/products/20271255/,False
食品贮藏室,一段搁板组合,奥马尔,¥ 258.00,,False,http://www.ikea.com/cn/zh/catalog/products/S09213592/,False
食品贮藏室,一段组合/瓶架,伊娃,¥ 664.00,,False,http://www.ikea.com/cn/zh/catalog/products/S09213592/,False
食品贮藏室,一段组合/搁板/抽屉,伊娃,"¥ 1,040.80",,False,http://www.ikea.com/cn/zh/catalog/products/S09213592/,False
顶灯,吊灯,HÖLJES 荷李斯,¥ 199.00,,False,http://www.ikea.com/cn/zh/catalog/products/00325773/,False
橱柜和展示柜,玻璃门柜,法布利克,¥ 999.00,,False,http://www.ikea.com/cn/zh/catalog/products/40363174/,False
拉手和拉钮,把手,MÖLLARP 莫拉普,¥ 30.00,,False,http://www.ikea.com/cn/zh/catalog/products/30322886/,False
抽油烟机和滤器,抽油烟机,哈莫尼,"¥ 3,499.00",,False,http://www.ikea.com/cn/zh/catalog/products/70335311/,False
抽油烟机和滤器,抽油烟机,拉根,¥ 799.00,,True,http://www.ikea.com/cn/zh/catalog/products/70335311/,False
抽油烟机和滤器,抽油烟机,露迪,"¥ 1,499.00",,False,http://www.ikea.com/cn/zh/catalog/products/70335311/,False
文件和多媒体储藏件,文件盒,FJÄLLA 福佳,¥ 39.90,,False,http://www.ikea.com/cn/zh/catalog/products/70367788/,False
儿童餐具,儿童围裙带厨师帽,TOPPKLOCKA 托普罗卡,¥ 49.00,,False,http://www.ikea.com/cn/zh/catalog/products/80300815/,False
儿童餐具,儿童金属餐具3件套,加肯,¥ 29.90,,False,http://www.ikea.com/cn/zh/catalog/products/80300815/,False
儿童用品8-12,小猪存钱罐,GULLGRIS 古利斯,¥ 39.90,,False,http://www.ikea.com/cn/zh/catalog/products/00323533/,False
儿童用品8-12,小猪存钱罐,GULLGRIS 古利斯,¥ 39.90,,False,http://www.ikea.com/cn/zh/catalog/products/00323533/,False
小型储物装置,床边挂袋,STICKAT 斯卡特,¥ 24.90,,False,http://www.ikea.com/cn/zh/catalog/products/20296294/,False
婴儿餐具,围嘴,KLADDIG 克拉丁,¥ 24.90,,False,http://www.ikea.com/cn/zh/catalog/products/60307224/,False
婴儿餐具,围嘴,STJÄRNBILD 韩彼得,¥ 29.90,,False,http://www.ikea.com/cn/zh/catalog/products/60307224/,False
婴儿餐具,围嘴,克拉德兰迪,¥ 14.90,,False,http://www.ikea.com/cn/zh/catalog/products/60307224/,False
工具和安装件,工具2件套,费克沙,¥ 59.00,大,False,http://www.ikea.com/cn/zh/catalog/products/20188483/,False
工具和安装件,钻孔模板,费克沙,¥ 9.90,大,False,http://www.ikea.com/cn/zh/catalog/products/20188483/,False
墙面板,挡水板安装条,莱西克,¥ 129.00,,False,http://www.ikea.com/cn/zh/catalog/products/80335122/,False
厨房岛和推车,手推车,RISATORP 瑞沙托,¥ 399.00,,False,http://www.ikea.com/cn/zh/catalog/products/60334067/,False
厨房岛和推车,厨房推车,乌登,¥ 499.00,,False,http://www.ikea.com/cn/zh/catalog/products/60334067/,False
厨房岛和推车,厨房推车,夫洛亚,¥ 699.00,,False,http://www.ikea.com/cn/zh/catalog/products/60334067/,False
厨房橱柜和前板,7屉底柜,METOD 米多,"¥ 2,350.00",,False,http://www.ikea.com/cn/zh/catalog/products/S09216581/,False
